vulnerability_id,cve_id,application_id,application_name,asset_id,hostname,ip_address,os_type,server_type,internet_facing,severity,status,past_due_flag,escalated_flag,kernel_related,application_owner,os_owner,business_unit,environment,region,discovered_date,due_date,is_remediated,platform_type,operating_system,description,last_scan_date
VULN-000038,CVE-2024-1038,APP038,Application-038,ASSET-000038,host-000038.corp.local,10.0.2.38,windows,Container,False,High,Open,True,True,True,owner18@example.com,sysadmin8@example.com,HR,Production,eu-west-1,2025-10-09,2025-11-25,False,Windows,Windows Server 2022,Sample finding for vulnerability VULN-000038,2026-06-23
VULN-000088,CVE-2024-1088,APP038,Application-038,ASSET-000088,host-000088.corp.local,10.0.5.88,aix,Container,False,High,In Progress,True,True,False,owner8@example.com,sysadmin8@example.com,Finance,Development,ap-south-1,2026-04-10,2026-05-14,False,AIX,AIX 7.2,Sample finding for vulnerability VULN-000088,2026-06-06
VULN-000138,CVE-2024-1138,APP038,Application-038,ASSET-000138,host-000138.corp.local,10.0.8.138,solaris,VM,False,High,Open,True,False,False,owner18@example.com,sysadmin8@example.com,Retail,Staging,ap-south-1,2026-01-02,2026-01-19,True,Solaris,Solaris 11,Sample finding for vulnerability VULN-000138,2026-06-01
VULN-000188,CVE-2024-1188,APP038,Application-038,ASSET-000188,host-000188.corp.local,10.0.11.188,linux,VM,False,Critical,In Progress,True,False,True,owner8@example.com,sysadmin8@example.com,HR,Production,ap-south-1,2025-08-22,2025-09-19,True,Linux,RHEL 8,Sample finding for vulnerability VULN-000188,2026-06-06
VULN-000238,CVE-2024-1238,APP038,Application-038,ASSET-000238,host-000238.corp.local,10.0.14.238,solaris,Physical,True,Medium,Accepted Risk,True,False,False,owner18@example.com,sysadmin8@example.com,Finance,Staging,ap-south-1,2025-09-02,2025-10-23,False,Solaris,Solaris 11,Sample finding for vulnerability VULN-000238,2026-06-01
VULN-000288,CVE-2024-1288,APP038,Application-038,ASSET-000288,host-000288.corp.local,10.1.18.32,windows,Physical,False,Medium,In Progress,True,False,False,owner8@example.com,sysadmin8@example.com,Finance,Development,us-east-1,2025-12-19,2026-02-12,False,Windows,Windows Server 2022,Sample finding for vulnerability VULN-000288,2026-06-02
VULN-000338,CVE-2024-1338,APP038,Application-038,ASSET-000338,host-000338.corp.local,10.1.21.82,linux,Container,False,Low,Accepted Risk,True,False,False,owner18@example.com,sysadmin8@example.com,Engineering,Production,us-west-2,2026-03-05,2026-03-21,False,Linux,Ubuntu 22.04,Sample finding for vulnerability VULN-000338,2026-06-24
VULN-000388,CVE-2024-1388,APP038,Application-038,ASSET-000388,host-000388.corp.local,10.1.24.132,windows,VM,True,Medium,In Progress,True,False,True,owner8@example.com,sysadmin8@example.com,Marketing,Staging,ap-south-1,2026-02-05,2026-02-12,False,Windows,Windows Server 2022,Sample finding for vulnerability VULN-000388,2026-06-10
VULN-000438,CVE-2024-1438,APP038,Application-038,ASSET-000438,host-000438.corp.local,10.1.27.182,solaris,VM,False,Medium,Accepted Risk,True,False,True,owner18@example.com,sysadmin8@example.com,Retail,Production,eu-west-1,2025-10-03,2025-11-29,False,Solaris,Solaris 11,Sample finding for vulnerability VULN-000438,2026-06-15
VULN-000488,CVE-2024-1488,APP038,Application-038,ASSET-000488,host-000488.corp.local,10.1.30.232,aix,Physical,False,Critical,In Progress,True,False,False,owner8@example.com,sysadmin8@example.com,Engineering,Staging,us-west-2,2026-01-14,2026-02-01,False,AIX,AIX 7.2,Sample finding for vulnerability VULN-000488,2026-06-23
VULN-000538,CVE-2024-1538,APP038,Application-038,ASSET-000538,host-000538.corp.local,10.2.33.26,windows,Physical,False,Medium,Accepted Risk,True,False,False,owner18@example.com,sysadmin8@example.com,Finance,Production,us-west-2,2025-07-20,2025-09-08,True,Windows,Windows Server 2019,Sample finding for vulnerability VULN-000538,2026-06-08
VULN-000588,CVE-2024-1588,APP038,Application-038,ASSET-000588,host-000588.corp.local,10.2.36.76,solaris,VM,False,Medium,Accepted Risk,True,False,False,owner8@example.com,sysadmin8@example.com,Retail,Development,ap-south-1,2026-03-01,2026-05-08,False,Solaris,Solaris 11,Sample finding for vulnerability VULN-000588,2026-06-12
